"","date","ch4.corr","ch4.raw","lon","lat","alt"
"55",2020-03-12 14:58:14,2098.77907362756,2098.77907362756,8.6037550125,47.39033965,5.994123333
"56",2020-03-12 14:58:16,2120.12642488505,2120.12642488505,8.6037968645,47.390317815,5.987173333
"57",2020-03-12 14:58:18,2175.17391933593,2175.17391933593,8.603839887,47.390295405,6.037223333
"58",2020-03-12 14:58:20,2206.39859636765,2206.39859636765,8.6038848105,47.39027342,6.011873333
"59",2020-03-12 14:58:22,2237.62327339937,2237.62327339937,8.6038988255,47.390264455,5.943723333
"60",2020-03-12 14:58:24,2279.25841662931,2279.25841662931,8.6038972935,47.3902647,5.912723333
"61",2020-03-12 14:58:26,2358.18313489216,2358.18313489216,8.6038951055,47.390265295,5.864773333
"62",2020-03-12 14:58:28,2401.05386236515,2401.05386236515,8.6038953065,47.390265115,5.840473333
"63",2020-03-12 14:58:30,2443.92458983814,2443.92458983814,8.603896228,47.39026465,5.800873333
"64",2020-03-12 14:58:32,2472.50418163474,2472.50418163474,8.603895972,47.39026289,5.807973333
"65",2020-03-12 14:58:34,2501.08377343134,2501.08377343134,8.603893822,47.39026647,5.732173333
"66",2020-03-12 14:58:36,2541.64399940242,2541.64399940242,8.6038889125,47.390259025,5.671923333
"67",2020-03-12 14:58:38,2562.73996251897,2562.73996251897,8.6038658615,47.390246,5.633673333
"68",2020-03-12 14:58:40,2569.7674437696,2569.7674437696,8.6038456355,47.39022991,5.617173333
"69",2020-03-12 14:58:42,2576.79492502022,2576.79492502022,8.603827686,47.390213465,5.563473333
"70",2020-03-12 14:58:44,2535.39298170198,2535.39298170198,8.603805619,47.390194315,5.617673333
"71",2020-03-12 14:58:46,2467.13664005286,2467.13664005286,8.6037848115,47.39017206,5.621473333
"72",2020-03-12 14:58:48,2444.3885782302,2444.3885782302,8.603766313,47.390150795,5.572473333
"73",2020-03-12 14:58:50,2421.64051640754,2421.64051640754,8.6037504115,47.390131245,5.570723333
"74",2020-03-12 14:58:52,2391.2410542406,2391.2410542406,8.6037458705,47.39012166,5.579673333
"75",2020-03-12 14:58:54,2379.85034664033,2379.85034664033,8.603747431,47.390119945,5.555323333
"76",2020-03-12 14:58:56,2376.0495072633,2376.0495072633,8.603747583,47.39012126,5.418623333
